source_section,website_product_name,top_products_pcode_reference_only,products_json_code,status,suggested_lookup_code,candidate_lookup_code,lookup_source,match_score,matched_product_name,matched_category,matched_price,matched_unit,matched_open_price,matched_product_id,active_lookup_count,products_json_code_lookup_count,products_json_code_matches_suggested
Fruit,APPLES KANZIL KG,,4835,safe,20308,20308,loose_active_db_name,1,Kanzi Apple,Apples,7.99,kg,0,2b95e9d9-c52b-498a-9345-3e5aa7c89435,1,1,no
Fruit,APRICOTS IN GREEN BUCKET,,4422,safe,4422,4422,exact_active_db_name,1,APRICOTS IN GREEN BUCKET,Fruit,6.99,each,0,ac5f0d5d-2a92-4b98-91e0-e046da7d1b28,1,1,yes
Fruit,APRICOTS KG,,4141,safe,4141,4141,exact_active_db_name,1,APRICOTS KG,Fruit,12.99,kg,0,312462d2-ecbb-46db-b510-99787c7eb1ca,1,1,yes
Fruit,AVOCADO GREEN SKIN LGE,,41522,safe,41522,41522,curated_produce_alias,1,Shepard,Fruit,0,each,1,p-kb-pg9-btn2,1,1,yes
Fruit,AVOCADO IN NET BAG,,5925,safe,20081,20081,loose_active_db_name,1,Sm Avocado,Fruit,1.5,each,0,p-kb-pg9-avo-sm,1,1,no
Fruit,AVOCADO LARGE HASS,,4152,safe,20338,20338,loose_active_db_name,1,Hass Avocado,Fruit,2.99,each,0,p-open-pg9-btn0,1,1,no
Fruit,AVOCADO REED,,4157,safe,4157,4157,curated_produce_alias,1,Reed,Fruit,2.99,each,0,p-kb-pg9-btn1,1,1,yes
Fruit,AVOCADOES  SMALL EA,,4155,safe,4155,4155,curated_produce_alias,1,Small Avocado,Fruit,1,each,0,p-kb-pg9-btn3,1,1,yes
Fruit,BANANAS CAVENDISH  KG,,4201,safe,20341,20341,loose_active_db_name,1,Cavendish Banana,Bananas,4.99,kg,0,9f6a5df7-9e75-4a21-9747-c2b61e6dc347,1,1,no
Fruit,BANANAS GREEN BAG KG,,40022,safe,40022,40022,exact_active_db_name,1,BANANAS GREEN BAG KG,Fruit,2.99,kg,0,price-list-40022,1,1,yes
Fruit,BANANAS LADYFINGER KG,,4221,safe,4221,4221,curated_produce_alias,1,Lady Finger,Fruit,6.99,kg,0,p-kb-pg10-btn1,1,1,yes
Fruit,BESTALLA DATES 500G,,9341533006666,safe,9341533006666,9341533006666,exact_active_db_name,1,BESTALLA DATES 500G,Fruit,5.99,each,0,f6f8ac9e-aee3-405d-8d20-8283352a2de6,1,1,yes
Fruit,BLACK BERRY VALLEY 125G,,93541251,safe,93541251,93541251,exact_active_db_name,1,BLACK BERRY VALLEY 125G,Fruit,3.49,each,0,8857369b-6071-46c5-8c73-5e5bacfb9c1c,1,1,yes
Fruit,BLACK MUSCAT GRAPES KG,,3235,safe,3235,3235,exact_active_db_name,1,BLACK MUSCAT GRAPES KG,Fruit,6.99,kg,0,d4efc0f8-844f-4659-8abb-cef4a8953bb2,1,1,yes
Fruit,BLACK PLUM KG,,87123,safe,87123,87123,exact_active_db_name,1,BLACK PLUM KG,Fruit,9.89,kg,0,3d25ba6e-1ca8-4f88-b325-5a34dd80199f,1,1,yes
Fruit,BLACKBERRES 125G,,9317948009240,safe,9317948009240,9317948009240,exact_active_db_name,1,BLACKBERRES 125G,Fruit,3.99,each,0,32f2c8cf-ca6f-4fda-b9be-aa1f778fb91d,1,1,yes
Fruit,BLACKBERRIES,,93541114,safe,20358,20358,exact_active_db_name,1,Blackberries,Berries,5.99,each,0,0edc2cf3-25af-474c-8246-7e5aa074f7e7,1,1,no
Fruit,BLACKBERRIES 125G,,9320800000668,safe,9320800000668,9320800000668,exact_active_db_name,1,BLACKBERRIES 125G,Fruit,4.99,each,0,ad23bfb2-d087-496a-a005-a72da1f3fc10,1,1,yes
Fruit,BLACKBERRIES 125G,,93567145,safe,9320800000668,9320800000668,exact_active_db_name,1,BLACKBERRIES 125G,Fruit,4.99,each,0,ad23bfb2-d087-496a-a005-a72da1f3fc10,1,1,no
Fruit,BLOOD ORANGE BUCKET,,1313,safe,1313,1313,exact_active_db_name,1,BLOOD ORANGE BUCKET,Fruit,2.89,each,0,97f9187c-e623-4d50-bdc6-ba82a11944ef,1,1,yes
Fruit,BLOOD ORANGES  KG,,8292,safe,8292,8292,exact_active_db_name,1,BLOOD ORANGES KG,Fruit,4.89,kg,0,a2f4f0c7-73a3-4c1c-9e4c-bf807d128f25,1,1,yes
Fruit,BLUEBERRIES  125G,,9317948009233,safe,9317948009233,9317948009233,exact_active_db_name,1,BLUEBERRIES 125G,Fruit,3.99,each,0,7bd23c19-e702-49ec-abde-35f128e3b7c2,1,1,yes
Fruit,BLUEBERRIES 125G,,9320801000452,safe,9317948009233,9317948009233,exact_active_db_name,1,BLUEBERRIES 125G,Fruit,3.99,each,0,7bd23c19-e702-49ec-abde-35f128e3b7c2,1,1,no
Fruit,BLUEBERRIES 125G,,93567138,safe,9317948009233,9317948009233,exact_active_db_name,1,BLUEBERRIES 125G,Fruit,3.99,each,0,7bd23c19-e702-49ec-abde-35f128e3b7c2,1,1,no
Fruit,BLUEBERRIES 125G,,9350489000628,safe,9317948009233,9317948009233,exact_active_db_name,1,BLUEBERRIES 125G,Fruit,3.99,each,0,7bd23c19-e702-49ec-abde-35f128e3b7c2,1,1,no
Fruit,BLUEBERRIES 125G,,93573689,safe,9317948009233,9317948009233,exact_active_db_name,1,BLUEBERRIES 125G,Fruit,3.99,each,0,7bd23c19-e702-49ec-abde-35f128e3b7c2,1,1,no
Fruit,BLUEBERRIES 125G,,9357107000237,safe,9317948009233,9317948009233,exact_active_db_name,1,BLUEBERRIES 125G,Fruit,3.99,each,0,7bd23c19-e702-49ec-abde-35f128e3b7c2,1,1,no
Fruit,BLUEBERRIES PUNNET 125G,,9335089000834,safe,9335089000834,9335089000834,exact_active_db_name,1,BLUEBERRIES PUNNET 125G,Fruit,3.99,each,0,de6ec23b-8bf7-45e0-9a4a-e2d38c2af636,1,1,yes
Fruit,BLUEBERRY 170G FB,,9357107000244,safe,9357107000244,9357107000244,exact_active_db_name,1,BLUEBERRY 170G FB,Fruit,4.89,each,0,e9954569-f393-4955-b690-64260cc80842,1,1,yes
Fruit,BLUEBERRY FRESH  125G,,9327403000101,safe,9327403000101,9327403000101,exact_active_db_name,1,BLUEBERRY FRESH 125G,Fruit,5.99,each,0,972a4a26-e692-4b11-8f5f-b6afc18f049a,1,1,yes
Fruit,BLUEBERRY PUNNET,,93536240,safe,20224,20224,loose_active_db_name,1,Blueberries,Berries,8.99,each,0,8a3b6810-c990-47aa-92cb-6f5a5657fb5c,1,1,no
Fruit,CANDY PLUM KG,,9876,safe,9876,9876,exact_active_db_name,1,CANDY PLUM KG,Fruit,16.9,kg,0,59598789-a533-4356-92ca-3b7570782d31,1,1,yes
